exp,n_folds,accuracy_mean,accuracy_std,accuracy_str,prec_benign_mean,prec_benign_std,prec_benign_str,rec_benign_mean,rec_benign_std,rec_benign_str,f1_benign_mean,f1_benign_std,f1_benign_str,prec_malignant_mean,prec_malignant_std,prec_malignant_str,rec_malignant_mean,rec_malignant_std,rec_malignant_str,f1_malignant_mean,f1_malignant_std,f1_malignant_str,macro_prec_mean,macro_prec_std,macro_prec_str,macro_rec_mean,macro_rec_std,macro_rec_str,macro_f1_mean,macro_f1_std,macro_f1_str,weighted_prec_mean,weighted_prec_std,weighted_prec_str,weighted_rec_mean,weighted_rec_std,weighted_rec_str,weighted_f1_mean,weighted_f1_std,weighted_f1_str,auc_mean,auc_std,auc_str,mcc_mean,mcc_std,mcc_str
ImgSE_Concat,5,0.828125,0.015309310892394873,0.8281 ± 0.0153,0.7087027266248735,0.028953127524176094,0.7087 ± 0.0290,0.7270833333333333,0.02901747557746689,0.7271 ± 0.0290,0.7173911928322665,0.02409241304839995,0.7174 ± 0.0241,0.8817535597991899,0.011247423508404212,0.8818 ± 0.0112,0.8714285714285713,0.017267035362333674,0.8714 ± 0.0173,0.8764650761265438,0.01149376333870758,0.8765 ± 0.0115,0.7952281432120317,0.0180606292985428,0.7952 ± 0.0181,0.7992559523809523,0.017318257769019223,0.7993 ± 0.0173,0.7969281344794051,0.017487438141316498,0.7969 ± 0.0175,0.829838309846895,0.01445073550044469,0.8298 ± 0.0145,0.828125,0.015309310892394873,0.8281 ± 0.0153,0.8287429111382604,0.014973888496971273,0.8287 ± 0.0150,0.8711588541666668,0.01675815513913889,0.8712 ± 0.0168,0.5944228357491426,0.03464565195762259,0.5944 ± 0.0346
MetaCondSE_Concat,5,0.813125,0.013891319231808056,0.8131 ± 0.0139,0.6740493322745429,0.0373958710088208,0.6740 ± 0.0374,0.7458333333333333,0.05574620066774854,0.7458 ± 0.0557,0.7052821530559071,0.010937081442703328,0.7053 ± 0.0109,0.8866697747762166,0.01867189409480524,0.8867 ± 0.0187,0.8419642857142857,0.04107142857142858,0.8420 ± 0.0411,0.8626974616490894,0.014893734860554267,0.8627 ± 0.0149,0.7803595535253798,0.011214228187897036,0.7804 ± 0.0112,0.7938988095238095,0.010553942396724497,0.7939 ± 0.0106,0.7839898073524983,0.009966067228853197,0.7840 ± 0.0100,0.8228836420257144,0.005953355655235041,0.8229 ± 0.0060,0.813125,0.013891319231808056,0.8131 ± 0.0139,0.8154728690711348,0.011453692036077984,0.8155 ± 0.0115,0.8609095982142858,0.015644502470710586,0.8609 ± 0.0156,0.5738632177771703,0.014587758908833045,0.5739 ± 0.0146
ImgSE_AuxTask,5,0.81375,0.03165981285478485,0.8137 ± 0.0317,0.6793247401453508,0.07045391912987903,0.6793 ± 0.0705,0.7479166666666666,0.025853486762480938,0.7479 ± 0.0259,0.7087105288594868,0.028945895700888607,0.7087 ± 0.0289,0.8865194363039686,0.0049501005707380495,0.8865 ± 0.0050,0.8419642857142857,0.05544348105807153,0.8420 ± 0.0554,0.8626091504662042,0.028076863419507877,0.8626 ± 0.0281,0.7829220882246597,0.03386042084736944,0.7829 ± 0.0339,0.7949404761904763,0.01625092662629278,0.7949 ± 0.0163,0.7856598396628455,0.028378319171822586,0.7857 ± 0.0284,0.8243610274563832,0.01934667972187967,0.8244 ± 0.0193,0.81375,0.03165981285478485,0.8137 ± 0.0317,0.8164395639841888,0.028225156270205682,0.8164 ± 0.0282,0.8741815476190476,0.010075537049179167,0.8742 ± 0.0101,0.5774239500779574,0.050355686954076107,0.5774 ± 0.0504
MetaCondSE_AuxTask,5,0.80375,0.03152380053229623,0.8037 ± 0.0315,0.6526485914878772,0.06052381473149452,0.6526 ± 0.0605,0.7750000000000001,0.042999515501146446,0.7750 ± 0.0430,0.7048870888561609,0.023803564027443606,0.7049 ± 0.0238,0.895225338975339,0.012053339657489818,0.8952 ± 0.0121,0.8160714285714287,0.061172118332002284,0.8161 ± 0.0612,0.8521955846843741,0.030322838128982295,0.8522 ± 0.0303,0.773936965231608,0.02583385867241607,0.7739 ± 0.0258,0.7955357142857143,0.01413612153218798,0.7955 ± 0.0141,0.7785413367702675,0.026660828804455906,0.7785 ± 0.0267,0.8224523147291004,0.012716505591346409,0.8225 ± 0.0127,0.80375,0.03152380053229623,0.8037 ± 0.0315,0.8080030359359102,0.02804516945750199,0.8080 ± 0.0280,0.8684058779761903,0.013590629844549226,0.8684 ± 0.0136,0.5688269052765091,0.03952453318776055,0.5688 ± 0.0395
ImgSE_BidirCrossAttn,5,0.804375,0.012747548783981974,0.8044 ± 0.0127,0.654402987260031,0.036680448238094604,0.6544 ± 0.0367,0.7500000000000001,0.037845629426218656,0.7500 ± 0.0378,0.6971229180484858,0.009007815927659738,0.6971 ± 0.0090,0.8859294248322092,0.011652511326494723,0.8859 ± 0.0117,0.8276785714285715,0.03226662678498685,0.8277 ± 0.0323,0.855272786119154,0.012361271266809677,0.8553 ± 0.0124,0.7701662060461201,0.01437468004777181,0.7702 ± 0.0144,0.7888392857142857,0.007142857142857152,0.7888 ± 0.0071,0.77619785208382,0.009491147532506343,0.7762 ± 0.0095,0.8164714935605557,0.007080568476183221,0.8165 ± 0.0071,0.804375,0.012747548783981974,0.8044 ± 0.0127,0.8078278256979535,0.010426705057920408,0.8078 ± 0.0104,0.8629371279761905,0.015225918082298184,0.8629 ± 0.0152,0.5584971879563974,0.017399425394510233,0.5585 ± 0.0174
Img_SE_Add,5,0.798125,0.020019521722558706,0.7981 ± 0.0200,0.6499667931314118,0.049119422289467085,0.6500 ± 0.0491,0.7395833333333334,0.06878155841341325,0.7396 ± 0.0688,0.6872532951817744,0.01465075610501151,0.6873 ± 0.0147,0.8824790856310989,0.021828643006107828,0.8825 ± 0.0218,0.8232142857142858,0.054792628544879485,0.8232 ± 0.0548,0.8500805509091756,0.021171799854033394,0.8501 ± 0.0212,0.7662229393812553,0.016138503560816208,0.7662 ± 0.0161,0.7813988095238095,0.012337736504865558,0.7814 ± 0.0123,0.768666923045475,0.014373042267934177,0.7687 ± 0.0144,0.8127253978811927,0.00791644337084722,0.8127 ± 0.0079,0.798125,0.020019521722558706,0.7981 ± 0.0200,0.8012323741909553,0.01653124680696695,0.8012 ± 0.0165,0.8484747023809524,0.012576165698056217,0.8485 ± 0.0126,0.5470428910300469,0.021176714963539844,0.5470 ± 0.0212
Img_SE_Gated,5,0.8231249999999999,0.020785361435394858,0.8231 ± 0.0208,0.6960546930347927,0.04380627628239665,0.6961 ± 0.0438,0.7375,0.04187448175467041,0.7375 ± 0.0419,0.7146982803802336,0.028202693895413758,0.7147 ± 0.0282,0.8847166837456338,0.015162056695951266,0.8847 ± 0.0152,0.8598214285714285,0.03324019726604693,0.8598 ± 0.0332,0.8716129347725289,0.0170875434276796,0.8716 ± 0.0171,0.7903856883902133,0.023443958098694775,0.7904 ± 0.0234,0.7986607142857143,0.019912693865575468,0.7987 ± 0.0199,0.7931556075763811,0.02168107085511814,0.7932 ± 0.0217,0.8281180865323815,0.017197963618487105,0.8281 ± 0.0172,0.8231249999999999,0.020785361435394858,0.8231 ± 0.0208,0.8245385384548403,0.019523481918748368,0.8245 ± 0.0195,0.872842261904762,0.02179563488535728,0.8728 ± 0.0218,0.5888493877717765,0.041779045147798635,0.5888 ± 0.0418
